id;rule_name;description;start_day;end_day;commission_percentage
1;frankly midwife;outlaw;25286;28894;19332.96
2;cooperative dimly yahoo;syringe;21529;27649;22163.29
3;brr what;preside stage psst;20322;7306;21057.04
4;taxicab uh-huh;oh incidentally;14588;16302;17796.55
5;till;coolly yummy;962;14713;4250.87
6;minion;about unbearably;16019;587;17909.92
7;spork icy;limping before ouch;25782;21799;22745.9
8;stunt negotiation as;meanwhile mmm yahoo;22897;21839;20098.19
9;multicolored;worth;23691;2449;19045.27
10;object minus;disclosure even curiously;26295;15797;24167.75
