id;invoice_id;client_id;partner_id;invoice_amount;invoice_date;invoice_type
1;menacing;superficial busily gee;account trouser;19889.19;2025-05-08;athwart
2;ha detain shrill;for where charm;rarely;27491.48;2025-05-07;worthless propound dial
3;oof slipper supposing;on;tomb;32482.11;2025-05-07;publicity
4;between;ouch black ick;even pry;414.21;2025-05-08;ah
5;incidentally;though courageous ack;mushy yuck;6663.16;2025-05-08;enchanting fork
6;mostly yahoo;equatorial aha formula;since since;5859.05;2025-05-07;ick narrate
7;sheathe;toward whoa;wholly;7485.73;2025-05-08;tousle searchingly daintily
8;gah;pfft;manipulate though;9366.35;2025-05-07;drat
9;yowza;scaly ha;casket;21330.55;2025-05-08;backbone now
10;unique cram;er ugh travel;within;7168.22;2025-05-08;gosh
