id;license_rule_name;license_start_date;license_end_date;license_quantity;price_per_license;total_license_amount
1;convalesce;2025-05-14;2025-05-15;17102;9747.92;12147.38
2;mediocre;2025-05-14;2025-05-14;24842;20924.2;8001.28
3;knitting;2025-05-14;2025-05-15;20815;7326.92;10748.17
4;diversity;2025-05-15;2025-05-15;26334;30127.08;28708.8
5;reproach boggle remark;2025-05-14;2025-05-14;3657;385.99;10293.93
6;blah;2025-05-15;2025-05-15;11538;27336.75;5689.79
7;mutate furthermore upside-down;2025-05-15;2025-05-15;11751;12831.59;15665.11
8;matter hence;2025-05-14;2025-05-14;6200;14785.83;16166.41
9;spanish finished;2025-05-14;2025-05-14;11005;25552.98;10033.55
10;or cleverly interchange;2025-05-14;2025-05-14;26866;11372.86;11132.74
